TipoCredor,ClassificacaoCredor,NacionalOuInternacional,DepositoJudicialCredor,DividaTotalCredor,DividaAdiantadaCredor,PrimeiraParcelaAdiantamentoCredor,SegundaParcelaAdiantamentoCredor,RestantePagoConformePlanoCredor,ModoPagamento,PrecisaAdvogado,TipoProcesso,KitProcesso,ParticipouMediacao,Resultado
2.0,1.0,1.0,2.0,1300.0,1300.0,1170.0,130.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,1291.0,1291.0,1162.0,129.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,2.0,1.0,2.0,84467.0,50000.0,45000.0,5000.0,34467.0,2.0,1.0,5.0,2.0,2.0,2
1.0,1.0,1.0,2.0,5880119.0,50000.0,45000.0,5000.0,5830119.0,1.0,2.0,1.0,26.0,1.0,2
1.0,1.0,1.0,2.0,5880119.0,50000.0,45000.0,5000.0,5830119.0,1.0,2.0,1.0,26.0,1.0,2
1.0,1.0,1.0,2.0,4158555.0,50000.0,45000.0,5000.0,4108555.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,2.0,147.0,147.0,132.0,15.0,0.0,2.0,1.0,2.0,19.0,1.0,2
2.0,2.0,1.0,1.0,213407.0,50000.0,45000.0,5000.0,163407.0,3.0,1.0,5.0,2.0,2.0,2
1.0,1.0,1.0,2.0,1341345.0,50000.0,45000.0,5000.0,1291345.0,1.0,2.0,1.0,26.0,1.0,2
1.0,1.0,1.0,2.0,49987.0,49987.0,44988.0,4999.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,49987.0,49987.0,44988.0,4999.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,453076.0,50000.0,45000.0,5000.0,403076.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,51509.0,50000.0,45000.0,5000.0,1509.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,1515239.0,50000.0,45000.0,5000.0,1465239.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,21647.0,21647.0,19483.0,2165.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,5246.0,5246.0,4722.0,525.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,150066.0,50000.0,45000.0,5000.0,100066.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,122068.0,50000.0,45000.0,5000.0,72068.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,56441.0,50000.0,45000.0,5000.0,6441.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,37425.0,37425.0,33682.0,3742.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,3027.0,3027.0,2724.0,303.0,0.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,1.0,7059.0,7059.0,6353.0,706.0,0.0,3.0,1.0,5.0,12.0,2.0,2
1.0,1.0,1.0,2.0,354691.0,50000.0,45000.0,5000.0,304691.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,6650.0,6650.0,5985.0,665.0,0.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,1.0,11300.0,11300.0,10170.0,1130.0,0.0,3.0,1.0,2.0,6.0,2.0,2
1.0,1.0,1.0,2.0,118585.0,50000.0,45000.0,5000.0,68585.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,876916.0,50000.0,45000.0,5000.0,826916.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,2.0,1200.0,1200.0,1080.0,120.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,1.0,10693.0,10693.0,9623.0,1069.0,0.0,3.0,1.0,3.0,19.0,2.0,2
2.0,1.0,1.0,2.0,1222.0,1222.0,1100.0,122.0,0.0,2.0,1.0,2.0,6.0,2.0,2
2.0,1.0,1.0,2.0,3000.0,3000.0,2700.0,300.0,0.0,2.0,1.0,2.0,6.0,2.0,2
2.0,1.0,1.0,2.0,1310.0,1310.0,1179.0,131.0,0.0,2.0,1.0,3.0,6.0,2.0,2
2.0,1.0,1.0,1.0,25417.0,25417.0,22875.0,2542.0,0.0,3.0,1.0,4.0,22.0,2.0,2
2.0,1.0,1.0,2.0,5017.0,5017.0,4515.0,502.0,0.0,2.0,1.0,3.0,19.0,2.0,2
2.0,2.0,1.0,1.0,43261.0,43261.0,38935.0,4326.0,0.0,3.0,1.0,5.0,12.0,2.0,2
2.0,2.0,1.0,1.0,12742.0,12742.0,11468.0,1274.0,0.0,3.0,1.0,5.0,12.0,2.0,2
2.0,1.0,1.0,2.0,1200.0,1200.0,1080.0,120.0,0.0,2.0,1.0,2.0,6.0,2.0,2
2.0,1.0,1.0,2.0,2920.0,2920.0,2628.0,292.0,0.0,2.0,1.0,3.0,5.0,2.0,2
1.0,1.0,1.0,2.0,179921.0,50000.0,45000.0,5000.0,129921.0,1.0,2.0,1.0,26.0,1.0,2
2.0,1.0,1.0,2.0,1500.0,1500.0,1350.0,150.0,0.0,2.0,1.0,2.0,19.0,2.0,2
1.0,2.0,1.0,2.0,1141138.0,50000.0,45000.0,5000.0,1091138.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,2.0,493.0,493.0,444.0,49.0,0.0,2.0,1.0,3.0,6.0,2.0,2
2.0,1.0,1.0,2.0,6390.0,6390.0,5751.0,639.0,0.0,2.0,1.0,4.0,22.0,2.0,2
2.0,2.0,1.0,1.0,46032.0,46032.0,41429.0,4603.0,0.0,3.0,1.0,5.0,12.0,2.0,2
1.0,1.0,1.0,2.0,386231.0,50000.0,45000.0,5000.0,336231.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,10402.0,10402.0,9361.0,1040.0,0.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,1.0,13292.0,13292.0,11963.0,1329.0,0.0,3.0,1.0,5.0,2.0,2.0,2
1.0,1.0,1.0,2.0,9909.0,9909.0,8918.0,991.0,0.0,1.0,2.0,1.0,25.0,2.0,2
2.0,1.0,1.0,2.0,1094.0,1094.0,985.0,109.0,0.0,2.0,1.0,3.0,19.0,2.0,2
2.0,1.0,1.0,2.0,1200.0,1200.0,1080.0,120.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,3119.0,3119.0,2807.0,312.0,0.0,2.0,1.0,3.0,6.0,2.0,2
2.0,2.0,1.0,2.0,42865.0,42865.0,38579.0,4287.0,0.0,2.0,2.0,5.0,1.0,2.0,2
2.0,1.0,1.0,2.0,3000.0,3000.0,2700.0,300.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,669.0,669.0,602.0,67.0,0.0,2.0,1.0,3.0,19.0,2.0,2
2.0,1.0,1.0,2.0,1000.0,1000.0,900.0,100.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,1503.0,1503.0,1352.0,150.0,0.0,2.0,1.0,2.0,6.0,2.0,2
2.0,1.0,1.0,2.0,3244.0,3244.0,2920.0,324.0,0.0,2.0,1.0,3.0,6.0,2.0,2
2.0,1.0,1.0,2.0,700.0,700.0,630.0,70.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,2.0,1.0,1.0,8727.0,8727.0,7855.0,873.0,0.0,3.0,1.0,5.0,12.0,2.0,2
1.0,1.0,1.0,2.0,12799.0,12799.0,11519.0,1280.0,0.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,2.0,2983.0,2983.0,2685.0,298.0,0.0,2.0,1.0,3.0,6.0,2.0,2
2.0,1.0,1.0,2.0,1000.0,1000.0,900.0,100.0,0.0,2.0,1.0,2.0,19.0,2.0,2
2.0,1.0,1.0,2.0,9994.0,9994.0,8994.0,999.0,0.0,2.0,1.0,3.0,6.0,2.0,2
2.0,2.0,1.0,1.0,31507.0,31507.0,28356.0,3151.0,0.0,3.0,1.0,5.0,12.0,2.0,2
2.0,1.0,1.0,2.0,1800.0,1800.0,1620.0,180.0,0.0,2.0,1.0,2.0,6.0,2.0,2
2.0,2.0,1.0,1.0,28622.0,28622.0,25760.0,2862.0,0.0,3.0,1.0,5.0,12.0,2.0,2
2.0,1.0,1.0,2.0,751.0,751.0,676.0,75.0,0.0,2.0,1.0,3.0,19.0,2.0,2
2.0,1.0,1.0,2.0,8640.0,8640.0,7776.0,864.0,0.0,2.0,1.0,2.0,6.0,2.0,2
1.0,1.0,1.0,2.0,4846315.0,50000.0,45000.0,5000.0,4796315.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,2.0,800.0,800.0,720.0,80.0,0.0,2.0,1.0,2.0,19.0,2.0,2
1.0,1.0,1.0,2.0,20214941.0,50000.0,45000.0,5000.0,20164941.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,2955535.0,50000.0,45000.0,5000.0,2905535.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,6313892.0,50000.0,45000.0,5000.0,6263892.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,3958091.0,50000.0,45000.0,5000.0,3908091.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,1.0,61595.0,50000.0,45000.0,5000.0,11595.0,3.0,2.0,2.0,19.0,2.0,2
