TipoCredor,ClassificacaoCredor,NacionalOuInternacional,DepositoJudicialCredor,DividaTotalCredor,DividaAdiantadaCredor,PrimeiraParcelaAdiantamentoCredor,SegundaParcelaAdiantamentoCredor,RestantePagoConformePlanoCredor,ModoPagamento,PrecisaAdvogado,TipoProcesso,KitProcesso,ParticipouMediacao,Resultado
2.00,1.00,1.00,0.00,2261.00,2261.00,2035.00,226.00,0.00,2.00,0.00,3.00,8.00,0.00,1
2.00,1.00,1.00,0.00,3467.00,3467.00,3120.00,347.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,4539.00,4539.00,4085.00,454.00,0.00,2.00,0.00,3.00,21.00,0.00,1
2.00,1.00,1.00,0.00,15323.00,15323.00,13791.00,1532.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,7069.00,7069.00,6362.00,707.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,3130.00,3130.00,2817.00,313.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,1226.00,1226.00,1103.00,123.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,5183.00,5183.00,4665.00,518.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,4044.00,4044.00,3640.00,404.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,5161.00,5161.00,4645.00,516.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,3525.00,3525.00,3172.00,352.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,1010.00,1010.00,909.00,101.00,0.00,2.00,0.00,2.00,21.00,0.00,0
2.00,1.00,1.00,0.00,2790.00,2790.00,2511.00,279.00,0.00,2.00,1.00,2.00,6.00,0.00,0
2.00,1.00,1.00,0.00,9922.00,9922.00,8930.00,992.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,5500.00,5500.00,4950.00,550.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,5050.00,5050.00,4545.00,505.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,10050.00,10050.00,9045.00,1005.00,0.00,2.00,1.00,2.00,4.00,0.00,1
2.00,1.00,1.00,0.00,4017.00,4017.00,3616.00,402.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,2071.00,2071.00,1864.00,207.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,16168.00,16168.00,14551.00,1617.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,6250.00,6250.00,5625.00,625.00,0.00,2.00,0.00,2.00,17.00,0.00,1
2.00,1.00,1.00,0.00,5008.00,5008.00,4508.00,501.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,3640.00,3640.00,3276.00,364.00,0.00,2.00,1.00,3.00,19.00,0.00,0
2.00,1.00,1.00,0.00,5050.00,5050.00,4545.00,505.00,0.00,2.00,1.00,2.00,19.00,0.00,1
